episode,arm,cell,policy,verdict,operator_placed,op_force_flag,class,grasp_success,haptic_success,under_grasp,over_grasp,crush,n_closes,close_src,t_first_close_s,z_first_close_mm,h_first_close_mm,t_grasp_close_s,z_grasp_close_mm,contact_a_evidence,pad_peak_after_close_n,pad_peak_n,pad_peak_min_n,pad_peak_take_n,pad_peak_take_min_n,pad_peak_pinch_n,area_peak_after_close,hold_s,lift_mm,drop,released,z_release_mm,y_release_m,ctrl_releases,obj2_frac_hold,obj2_frac_after_close,stop_reason,n_replans,agree,disagreement,notes,rule_grasp_ok
ep_student_waffles_1789483915_008,dp,109,student,s,True,False,contact_no_hold,True,False,True,False,False,1,"actions[:,6] (command)",10.77,71.2,39.7,,,"load 7.9N, area 4.9",7.88,0.0,0.0,7.88,7.83,7.88,4.9,0.05,0.0,False,False,,,0,0.0,0.0,operator_stop,56,False,"operator placed it, sensors say contact_no_hold",operator: s,
ep_student_waffles_1789483997_009,dp,110,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,2.11,0.04,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,safety_stop,19,True,,operator: f,
ep_student_waffles_1789484080_000,dp,111,student,f,False,False,contact_no_hold,True,False,True,False,False,1,"actions[:,6] (command)",10.3,86.7,55.2,,,"load 5.0N, area 4.2",4.96,0.0,0.0,4.96,3.18,4.96,4.2,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,29,True,,operator: f,
ep_student_waffles_1789484121_001,dp,112,student,crushed_then_failed,False,True,contact_no_hold,True,False,True,False,False,1,"actions[:,6] (command)",13.29,37.6,6.1,13.29,37.6,"load 17.0N, area 13.2",16.98,16.98,10.8,16.98,10.8,16.98,13.2,0.55,0.7,False,False,,,0,0.0,0.0,safety_stop,28,False,"operator flagged excessive force, pinch peak only 17.0 N","operator: f (was c: crushed the pack, then hit the table -> safety stop; re-filed as a failure on Mikhail word 18:05 MSK",
ep_student_waffles_1789484172_002,dp,113,student,f,False,False,contact_no_hold,True,False,True,False,False,1,"actions[:,6] (command)",13.29,61.1,29.6,,,"load 3.4N, area 0.7",3.35,0.0,0.0,3.35,2.23,0.0,0.7,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,43,True,,"operator: f (verdict entered afterwards on Mikhail word, 18:05 MSK)",
ep_student_waffles_1789484255_003,dp,114,student,f,False,False,contact_no_hold,True,False,True,False,False,1,"actions[:,6] (command)",12.0,76.9,45.4,,,area 2.7,2.47,0.0,0.0,2.47,1.53,0.0,2.7,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,35,True,,operator: f,
ep_student_waffles_1789484294_004,dp,115,student,f,False,False,contact_no_hold,True,False,True,False,False,1,"actions[:,6] (command)",14.01,62.1,30.6,,,area 2.2,1.82,0.0,0.0,1.82,1.66,0.0,2.2,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,47,True,,operator: f,
ep_student_waffles_1789484376_005,dp,116,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,1.22,0.8,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,26,True,,operator: f,
ep_student_waffles_1789484409_006,dp,117,student,s,True,False,placed_clean,True,True,False,False,False,3,"actions[:,6] (command)",14.71,82.8,51.3,16.43,82.8,"load 14.1N, area 18.7",14.11,14.11,12.47,14.11,12.47,14.11,18.7,10.7,276.7,False,True,141.4,0.052,1,0.569,0.0,operator_stop,73,True,,operator: s,
ep_student_waffles_1789484465_007,dp,118,student,f,False,False,closed_on_air,False,False,False,False,False,1,"actions[:,6] (command)",10.73,51.0,19.5,,,,1.95,0.0,0.0,1.95,1.51,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,33,True,,operator: f,
